seed,start_x,start_y,goal_x,goal_y,straight_m
1,4.25,-0.09,11.36,10.29,12.58
2,17.1,14.8,8.12,0.48,16.9
3,16.93,15.42,8.59,0.85,16.79
4,15.45,1.68,9.05,13.75,13.66
5,8.11,4.15,5.09,16.67,12.88
6,5.19,14.78,7.48,1.97,13.01
7,16.7,6.38,-0.07,7.86,16.84
8,1.82,17.15,9.64,-0.26,19.09
9,16.14,6.58,-0.1,8.71,16.38
10,16.95,1.58,13.33,15.11,14.01
11,16.2,16.47,1.96,5.75,17.82
12,17.3,6.55,1.75,5.76,15.57
13,16.06,16.28,3.38,-0.18,20.78
14,17.0,13.53,1.51,10.23,15.84
15,0.54,7.63,8.88,16.44,12.13
16,15.35,4.46,13.42,17.43,13.11
17,16.38,1.52,8.61,14.51,15.14
18,17.23,1.76,10.56,12.62,12.74
19,13.59,4.35,-0.17,9.16,14.58
20,17.47,9.65,3.87,13.97,14.27
21,1.22,-0.46,12.03,15.9,19.61
22,4.29,-0.2,7.92,13.4,14.08
23,6.41,8.24,15.8,17.25,13.01
24,10.34,10.08,0.99,-0.3,13.97
25,12.45,16.53,-0.47,7.19,15.94
26,4.42,16.13,8.61,1.54,15.18
27,16.47,1.57,0.47,17.16,22.34
28,8.47,14.99,8.02,2.03,12.97
29,4.29,4.49,16.85,8.31,13.13
30,0.13,0.17,5.0,14.3,14.95
31,0.47,8.41,12.18,3.24,12.8
32,13.0,3.86,-0.2,9.62,14.4
33,13.01,3.64,-0.25,8.46,14.11
34,13.74,3.65,1.57,4.52,12.2
35,17.18,15.16,0.03,8.11,18.54
36,3.85,15.97,5.9,-0.26,16.36
37,14.85,4.66,5.64,14.9,13.77
38,12.08,8.16,-0.09,9.72,12.27
39,14.29,4.19,1.96,5.38,12.39
40,4.37,-0.39,7.14,12.84,13.52
41,16.71,16.04,5.43,2.62,17.53
42,2.51,5.15,0.64,17.08,12.08
43,17.47,16.4,2.64,7.49,17.3
44,-0.43,13.13,16.74,1.97,20.48
45,10.37,3.54,12.55,16.6,13.24
46,16.72,0.39,4.78,2.86,12.19
47,17.38,0.68,4.16,17.2,21.16
48,5.76,15.56,15.68,1.64,17.09
49,16.79,8.48,3.81,7.15,13.05
50,16.81,4.41,3.92,-0.03,13.63
51,17.16,12.7,6.46,2.43,14.83
52,0.56,0.29,11.42,6.27,12.4
53,17.36,6.68,4.71,11.15,13.42
54,16.2,4.45,0.48,9.69,16.57
55,3.08,-0.45,5.73,15.32,15.99
56,16.4,16.3,12.0,1.98,14.98
57,5.21,14.99,10.97,4.07,12.35
58,14.69,1.82,5.82,12.68,14.02
59,3.09,0.57,16.67,17.22,21.49
60,9.81,4.37,6.84,16.06,12.06
61,-0.0,0.06,10.57,9.75,14.34
62,17.48,10.15,7.02,16.77,12.38
63,12.74,8.18,0.24,4.46,13.04
64,4.37,15.33,13.64,3.34,15.16
65,16.84,1.01,0.63,9.36,18.23
66,4.16,1.92,0.37,14.66,13.29
67,4.15,15.63,5.91,3.24,12.51
68,-0.05,0.41,5.93,13.5,14.39
69,17.27,8.43,0.41,0.49,18.64
70,0.5,17.45,17.28,9.79,18.45
71,3.16,-0.38,14.3,16.53,20.25
72,16.98,9.16,5.4,4.12,12.63
73,3.92,-0.37,4.58,15.64,16.02
74,-0.47,17.51,10.35,2.28,18.68
75,1.43,17.56,3.92,0.99,16.76
76,0.56,17.57,12.28,3.58,18.25
77,14.57,3.87,0.02,0.21,15.0
78,16.95,13.05,-0.41,17.26,17.86
79,11.25,4.35,2.09,15.07,14.1
80,11.53,3.95,3.44,14.39,13.21
81,4.59,-0.45,13.05,15.13,17.73
82,3.4,0.3,5.01,13.7,13.5
83,0.61,1.66,16.83,16.89,22.25
84,10.28,3.77,6.21,15.12,12.06
85,3.75,0.99,12.29,15.23,16.6
86,17.06,4.36,4.87,10.36,13.59
87,17.34,15.01,8.26,3.41,14.73
88,0.73,1.83,12.29,15.71,18.06
89,2.96,0.62,17.19,13.31,19.07
90,4.29,2.13,10.46,15.21,14.46
91,15.43,4.13,8.75,14.59,12.41
92,5.38,-0.29,1.89,17.24,17.87
93,17.43,9.86,7.48,17.27,12.41
94,17.02,1.69,8.19,17.4,18.02
95,10.84,4.8,5.89,16.47,12.68
96,0.83,17.51,12.62,3.99,17.94
97,0.44,8.2,15.25,12.05,15.3
98,15.97,4.19,-0.44,1.24,16.67
99,11.39,16.51,1.33,6.97,13.86
100,10.58,8.68,-0.34,1.85,12.88
101,0.01,8.01,14.58,7.12,14.6
102,5.38,16.35,0.62,-0.44,17.45
103,8.47,4.67,16.37,16.64,14.34
104,17.13,7.25,1.35,4.1,16.09
105,17.11,1.14,8.07,10.26,12.84
106,-0.15,0.23,17.14,12.75,21.35
107,-0.17,0.84,4.12,14.51,14.33
108,10.41,4.13,0.94,17.54,16.42
109,11.86,16.15,11.88,0.02,16.13
110,10.35,3.75,14.67,15.82,12.82
111,17.32,15.77,14.24,1.68,14.42
112,16.44,7.62,2.29,-0.5,16.31
113,12.11,8.58,1.26,14.72,12.47
114,11.42,4.67,-0.39,9.19,12.65
115,-0.45,14.06,12.67,16.89,13.42
116,16.83,16.41,-0.05,7.86,18.92
117,3.22,1.09,13.93,16.36,18.65
118,10.0,4.16,5.19,15.77,12.57
119,-0.31,8.67,8.82,-0.37,12.85
120,2.94,4.86,16.97,-0.32,14.96
121,-0.21,17.4,4.69,3.75,14.5
122,15.09,4.39,-0.3,10.2,16.45
123,14.15,4.46,-0.04,0.06,14.86
124,0.78,17.57,14.37,16.92,13.61
125,0.15,1.08,11.27,16.78,19.24
126,17.36,0.39,4.22,15.88,20.31
127,9.35,10.64,0.04,0.28,13.93
