time,cpu_k10temp_C,amdgpu_C,nvme_C,nvidia_C
01:07:59,75,47,47,36
01:08:03,76,47,47,36
01:08:19,76,47,47,36
01:08:23,76,47,47,35
01:08:39,76,48,47,35
01:08:43,77,48,47,35
01:08:59,78,47,47,35
01:09:03,78,48,47,35
01:09:19,77,48,47,35
01:09:23,77,48,47,35
01:09:39,77,48,47,35
01:09:43,79,49,47,35
01:09:59,77,48,47,35
01:10:03,77,48,47,35
01:10:19,76,48,47,35
01:10:23,76,48,47,35
01:10:39,77,48,47,35
01:10:43,77,48,47,35
01:10:59,77,48,47,35
01:11:03,78,49,47,35
01:11:19,78,48,47,35
01:11:23,78,48,47,35
01:11:39,77,48,47,35
01:11:43,77,48,47,35
01:11:59,78,48,47,35
01:12:03,77,48,47,35
01:12:20,77,48,47,35
01:12:23,77,48,47,35
01:12:40,78,48,47,35
01:12:43,76,47,47,35
01:13:00,76,48,47,35
01:13:03,76,48,47,35
01:13:20,77,48,47,35
01:13:23,77,48,47,35
01:13:40,77,48,47,35
01:13:43,77,48,47,35
01:14:00,77,48,47,35
01:14:03,77,48,47,35
01:14:20,79,48,47,35
01:14:23,79,49,47,35
01:14:40,77,49,47,35
01:14:44,80,49,47,35
01:15:00,77,48,47,35
01:15:04,77,48,47,35
01:15:20,77,48,47,35
01:15:24,77,48,47,35
01:15:40,77,49,47,35
01:15:44,77,48,47,35
01:16:00,78,48,47,35
01:16:04,77,48,47,35
01:16:20,77,48,47,35
01:16:24,77,48,47,35
01:16:40,78,48,47,35
01:16:44,77,48,47,35
01:17:00,77,48,47,35
01:17:04,77,48,47,36
01:17:20,78,47,47,35
01:17:24,76,47,47,35
01:17:40,76,48,47,35
01:17:44,76,48,47,35
01:18:00,77,48,47,35
01:18:04,77,48,47,36
01:18:20,77,48,47,35
01:18:24,78,48,47,35
01:18:40,78,49,47,36
01:18:44,80,49,47,36
01:19:01,79,49,47,35
01:19:04,79,48,47,35
01:19:21,77,49,47,35
01:19:24,77,48,47,35
01:19:41,77,48,47,35
01:19:44,77,48,47,35
01:20:01,78,49,47,35
01:20:04,79,49,47,35
01:20:21,78,49,47,35
01:20:24,79,49,47,35
01:20:41,78,48,47,35
01:20:44,77,48,47,35
01:21:01,79,48,47,35
01:21:04,78,48,47,35
01:21:21,77,48,47,35
01:21:25,77,49,47,35
01:21:41,75,47,47,35
01:21:45,74,47,47,35
01:22:01,75,47,47,35
01:22:05,74,48,47,35
01:22:21,75,48,47,35
01:22:25,75,47,47,35
01:22:41,73,47,47,35
01:22:45,74,47,47,35
01:23:01,73,47,47,35
01:23:05,73,47,47,35
01:23:21,73,47,47,35
01:23:25,73,47,47,35
01:23:41,73,47,47,35
01:23:45,73,47,47,35
01:24:01,74,47,47,36
01:24:05,75,47,47,35
01:24:21,77,48,47,35
01:24:25,77,48,47,37
01:24:41,78,48,47,37
01:24:45,79,48,47,37
01:25:01,74,47,47,36
01:25:05,74,47,47,36
01:25:21,74,47,47,36
