wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,20:21:38,61,0.43,0,39
3082,20:21:39,61,0.43,3,40
1596,20:21:39,61,0.43,3,40
1,20:21:39,61,0.43,3,40
3083,20:21:40,60,0.40,1,39
1597,20:21:40,60,0.40,1,39
2,20:21:40,60,0.40,1,39
1598,20:21:41,59,0.40,2,40
3084,20:21:41,59,0.40,2,40
3,20:21:41,60,0.40,2,40
3085,20:21:42,65,0.40,1,39
1599,20:21:42,65,0.40,1,39
4,20:21:42,65,0.40,1,41
3086,20:21:43,69,0.40,1,42
1600,20:21:43,69,0.40,1,42
5,20:21:43,69,0.40,1,42
3087,20:21:44,76,0.40,1,41
1601,20:21:44,76,0.40,1,41
6,20:21:44,76,0.40,1,41
3088,20:21:45,76,0.52,0,41
1602,20:21:45,76,0.52,0,41
8,20:21:46,76,0.52,0,41
1603,20:21:46,77,0.52,1,41
3089,20:21:46,77,0.52,1,41
9,20:21:47,77,0.52,1,41
3091,20:21:48,78,0.52,4,41
1605,20:21:48,78,0.52,4,41
10,20:21:48,78,0.52,4,41
11,20:21:49,79,0.52,1,41
1606,20:21:49,79,0.52,1,41
3092,20:21:49,79,0.52,1,41
12,20:21:50,78,0.52,1,41
1607,20:21:50,78,0.52,1,41
3093,20:21:50,78,0.52,1,41
13,20:21:51,78,0.56,0,41
3094,20:21:51,78,0.56,0,41
1608,20:21:51,78,0.56,0,41
14,20:21:52,77,0.56,10,41
3095,20:21:52,77,0.56,10,41
1609,20:21:52,77,0.56,10,41
15,20:21:53,77,0.56,6,42
3096,20:21:53,77,0.56,6,42
1610,20:21:53,77,0.56,6,42
16,20:21:54,77,0.56,5,41
1611,20:21:54,77,0.56,5,41
3097,20:21:54,77,0.56,5,41
3098,20:21:55,76,0.56,6,42
17,20:21:55,76,0.56,6,42
1612,20:21:55,76,0.56,6,42
3099,20:21:56,76,0.68,6,42
1613,20:21:56,76,0.68,6,42
18,20:21:56,76,0.68,6,42
3100,20:21:57,77,0.68,5,41
19,20:21:57,77,0.68,5,41
1614,20:21:57,77,0.68,5,41
3101,20:21:58,77,0.68,6,41
20,20:21:58,77,0.68,6,41
1615,20:21:58,77,0.68,6,41
3102,20:21:59,76,0.68,7,42
21,20:21:59,76,0.68,7,42
1616,20:21:59,76,0.68,7,42
3103,20:22:00,75,0.78,6,42
1617,20:22:00,75,0.78,6,42
22,20:22:00,75,0.78,6,42
3104,20:22:01,74,0.78,6,42
1618,20:22:01,74,0.78,6,42
23,20:22:01,74,0.78,6,42
1619,20:22:02,74,0.78,10,42
3105,20:22:02,74,0.78,10,42
24,20:22:02,74,0.78,10,42
1620,20:22:03,74,0.78,6,42
3106,20:22:03,74,0.78,6,42
25,20:22:03,74,0.78,6,42
1621,20:22:04,73,0.78,8,43
26,20:22:04,73,0.78,8,43
3107,20:22:04,73,0.78,8,43
1622,20:22:05,73,1.36,5,42
3108,20:22:05,73,1.36,5,42
27,20:22:05,73,1.36,5,42
1623,20:22:06,76,1.36,6,43
3109,20:22:06,76,1.36,6,43
28,20:22:06,76,1.36,6,43
1624,20:22:07,77,1.36,7,42
3110,20:22:07,77,1.36,7,42
29,20:22:07,77,1.36,7,42
1625,20:22:08,79,1.36,6,41
3111,20:22:08,79,1.36,6,41
30,20:22:08,79,1.36,6,41
1626,20:22:09,79,1.36,7,41
3112,20:22:09,79,1.36,7,41
31,20:22:09,79,1.36,7,41
1627,20:22:10,78,1.33,5,41
3113,20:22:10,78,1.33,5,41
32,20:22:10,78,1.33,5,41
1628,20:22:11,78,1.33,6,41
33,20:22:11,78,1.33,6,41
3114,20:22:11,78,1.33,6,41
1629,20:22:12,78,1.33,8,41
3115,20:22:12,78,1.33,8,41
34,20:22:12,78,1.33,8,41
1630,20:22:13,77,1.33,7,42
3116,20:22:13,77,1.33,8,41
35,20:22:13,77,1.33,8,41
1631,20:22:14,77,1.33,6,41
3117,20:22:14,77,1.33,6,41
36,20:22:14,77,1.33,6,41
1632,20:22:15,77,1.47,7,41
3118,20:22:15,77,1.47,7,41
37,20:22:15,77,1.47,7,41
1634,20:22:17,77,1.47,7,41
3120,20:22:17,77,1.47,7,41
39,20:22:17,77,1.47,7,41
1635,20:22:18,77,1.47,5,41
3121,20:22:18,77,1.47,5,41
40,20:22:18,77,1.47,5,41
1636,20:22:19,77,1.47,6,41
3122,20:22:19,77,1.47,6,41
41,20:22:19,77,1.47,6,41
1637,20:22:20,77,1.47,7,41
42,20:22:20,77,1.47,7,41
3123,20:22:20,77,1.47,7,41
1638,20:22:21,77,1.99,6,41
3124,20:22:21,77,1.99,6,41
43,20:22:21,77,1.99,6,41
1639,20:22:22,77,1.99,6,41
3125,20:22:22,77,1.99,6,41
44,20:22:22,77,1.99,6,41
1640,20:22:23,78,1.99,7,41
3126,20:22:23,78,1.99,7,41
45,20:22:23,78,1.99,7,41
1641,20:22:24,78,1.99,13,41
3127,20:22:24,78,1.99,13,41
46,20:22:24,78,1.99,13,41
1642,20:22:25,78,1.99,7,41
3128,20:22:25,78,1.99,7,41
47,20:22:25,78,1.99,7,41
1643,20:22:26,78,1.91,8,41
3129,20:22:26,78,1.91,8,41
48,20:22:26,78,1.91,8,41
1644,20:22:27,77,1.91,6,41
3130,20:22:27,77,1.91,6,41
49,20:22:27,77,1.91,6,41
1645,20:22:28,77,1.91,9,41
3131,20:22:28,77,1.91,9,41
50,20:22:28,77,1.91,9,41
1646,20:22:29,78,1.91,9,41
3132,20:22:29,78,1.91,9,41
51,20:22:29,78,1.91,9,41
1647,20:22:30,77,1.91,6,41
3133,20:22:30,77,1.91,6,41
52,20:22:30,77,1.91,6,41
3134,20:22:31,78,2.72,8,41
1648,20:22:31,78,2.72,8,41
53,20:22:31,78,2.72,8,41
54,20:22:32,78,2.72,8,41
3135,20:22:32,78,2.72,8,41
1649,20:22:32,78,2.72,8,41
55,20:22:33,78,2.72,8,41
1650,20:22:33,78,2.72,8,41
3136,20:22:33,78,2.72,8,41
56,20:22:34,77,2.72,4,41
1651,20:22:34,77,2.72,4,41
3137,20:22:34,77,2.72,4,41
57,20:22:35,77,2.66,6,41
1652,20:22:35,77,2.66,6,41
3138,20:22:35,77,2.66,6,41
58,20:22:36,78,2.66,8,41
1653,20:22:36,78,2.66,8,41
3139,20:22:36,78,2.66,8,41
59,20:22:37,79,2.66,8,41
1654,20:22:37,79,2.66,8,41
3140,20:22:37,79,2.66,8,41
60,20:22:38,78,2.66,7,41
3141,20:22:38,78,2.66,7,41
1655,20:22:38,78,2.66,7,41
61,20:22:39,78,2.66,8,41
3142,20:22:39,78,2.66,8,41
1656,20:22:39,78,2.66,8,41
62,20:22:40,78,2.53,6,42
3143,20:22:40,78,2.53,6,42
1657,20:22:40,78,2.53,6,42
63,20:22:41,78,2.53,6,41
3144,20:22:41,78,2.53,6,41
1658,20:22:41,78,2.53,6,41
64,20:22:42,79,2.53,8,41
3145,20:22:42,79,2.53,8,41
1659,20:22:42,79,2.53,8,41
65,20:22:43,79,2.53,9,41
1660,20:22:43,79,2.53,9,41
3146,20:22:43,79,2.53,9,41
66,20:22:44,79,2.53,7,41
1661,20:22:44,79,2.53,7,41
3147,20:22:44,79,2.53,7,41
67,20:22:45,79,2.57,7,41
1662,20:22:45,79,2.57,7,41
3148,20:22:45,79,2.57,7,41
68,20:22:46,78,2.57,10,41
1663,20:22:46,78,2.57,10,41
3149,20:22:46,78,2.57,10,41
69,20:22:47,78,2.57,8,41
1664,20:22:47,78,2.57,8,41
3150,20:22:47,78,2.57,8,41
71,20:22:49,79,2.57,9,43
1666,20:22:49,79,2.57,9,43
3152,20:22:49,79,2.57,9,43
72,20:22:50,79,2.57,6,41
3153,20:22:50,79,2.57,6,41
1667,20:22:50,79,2.57,6,41
73,20:22:51,79,2.92,6,41
1668,20:22:51,79,2.92,6,41
3154,20:22:51,79,2.92,6,41
74,20:22:52,78,2.92,7,41
1669,20:22:52,78,2.92,7,41
3155,20:22:52,78,2.92,7,41
75,20:22:53,78,2.92,8,41
3156,20:22:53,78,2.92,8,41
1670,20:22:53,78,2.92,8,41
76,20:22:54,78,2.92,9,41
1671,20:22:54,78,2.92,9,41
3157,20:22:54,78,2.92,9,41
77,20:22:55,78,2.92,7,41
1672,20:22:55,78,2.92,7,41
3158,20:22:55,78,2.92,7,41
78,20:22:56,78,2.85,9,41
1673,20:22:56,78,2.85,9,41
3159,20:22:56,78,2.85,9,41
1674,20:22:57,78,2.85,7,41
79,20:22:57,78,2.85,7,41
3160,20:22:57,78,2.85,7,41
1675,20:22:58,78,2.85,7,41
80,20:22:58,78,2.85,7,41
3161,20:22:58,78,2.85,7,41
1676,20:22:59,78,2.85,8,41
3162,20:22:59,78,2.85,8,41
81,20:22:59,78,2.85,8,41
1677,20:23:00,78,2.85,7,41
3163,20:23:00,78,2.85,7,41
82,20:23:00,78,2.85,7,41
1678,20:23:01,78,2.70,8,41
3164,20:23:01,78,2.70,8,41
83,20:23:01,78,2.70,8,41
1679,20:23:02,78,2.70,7,42
84,20:23:02,78,2.70,7,42
3165,20:23:02,78,2.70,7,42
1680,20:23:03,78,2.70,8,41
3166,20:23:03,78,2.70,8,41
85,20:23:03,78,2.70,8,41
1681,20:23:04,78,2.70,7,41
3167,20:23:04,78,2.70,7,41
86,20:23:04,78,2.70,7,41
1682,20:23:05,78,2.56,5,41
3168,20:23:05,78,2.56,5,41
87,20:23:05,78,2.56,5,41
1683,20:23:06,78,2.56,10,41
3169,20:23:06,78,2.56,10,41
88,20:23:06,78,2.56,10,41
1684,20:23:07,77,2.56,2,41
89,20:23:07,77,2.56,2,41
3170,20:23:07,77,2.56,2,41
1685,20:23:08,77,2.56,8,41
90,20:23:08,77,2.56,8,41
3171,20:23:08,77,2.56,8,41
1686,20:23:09,78,2.56,7,42
91,20:23:09,78,2.56,7,42
